"ID"	"largest_party"	"largest_party_percent"	"valdeltagande"	"KLARA_VALDISTRIKT"	"ALLA_VALDISTRIKT"	"MANDAT_M"	"MANDAT_ANDRING_M"	"ROSTER_M"	"PROCENT_M"	"PROCENT_ANDRING_M"	"MANDAT_C"	"MANDAT_ANDRING_C"	"ROSTER_C"	"PROCENT_C"	"PROCENT_ANDRING_C"	"MANDAT_FP"	"MANDAT_ANDRING_FP"	"ROSTER_FP"	"PROCENT_FP"	"PROCENT_ANDRING_FP"	"MANDAT_KD"	"MANDAT_ANDRING_KD"	"ROSTER_KD"	"PROCENT_KD"	"PROCENT_ANDRING_KD"	"MANDAT_S"	"MANDAT_ANDRING_S"	"ROSTER_S"	"PROCENT_S"	"PROCENT_ANDRING_S"	"MANDAT_V"	"MANDAT_ANDRING_V"	"ROSTER_V"	"PROCENT_V"	"PROCENT_ANDRING_V"	"MANDAT_MP"	"MANDAT_ANDRING_MP"	"ROSTER_MP"	"PROCENT_MP"	"PROCENT_ANDRING_MP"	"MANDAT_SD"	"MANDAT_ANDRING_SD"	"ROSTER_SD"	"PROCENT_SD"	"PROCENT_ANDRING_SD"	"MANDAT_FI"	"MANDAT_ANDRING_FI"	"ROSTER_FI"	"PROCENT_FI"	"PROCENT_ANDRING_FI"
"2181"	"S"	"S"	"84,9"	17	17	0	0	3760	15.4	-5.5	0	0	1252	5.1	-0.4	0	0	893	3.7	-1.4	0	0	664	2.7	-1	0	0	10702	43.9	-0.5	0	0	1734	7.1	-1	0	0	930	3.8	-1.1	0	0	3731	15.3	9.2	0	0	448	1.8	1.6
"2080"	"S"	"S"	"85,2"	35	35	0	0	8620	23.2	-5.6	0	0	3013	8.1	0	0	0	1658	4.5	-1.3	0	0	1434	3.9	-1.1	0	0	11342	30.5	-1.3	0	0	2188	5.9	0.5	0	0	2601	7	-0.9	0	0	4823	13	7.4	0	0	1174	3.2	2.7
"1277"	"S"	"S"	"77,9"	10	10	0	0	1432	17.7	-11.3	0	0	323	4	-0.4	0	0	255	3.1	-1.6	0	0	263	3.2	-0.5	0	0	3141	38.7	0.2	0	0	251	3.1	0.3	0	0	312	3.8	0.1	0	0	1974	24.3	12.4	0	0	88	1.1	1
"1415"	"M"	"M"	"85,4"	16	16	0	0	4557	28.4	-7.7	0	0	949	5.9	-0.1	0	0	1047	6.5	-2.1	0	0	704	4.4	-1.8	0	0	4462	27.8	2	0	0	677	4.2	0.1	0	0	995	6.2	-0.7	0	0	2189	13.7	8.8	0	0	315	2	1.7
"1482"	"S"	"S"	"87,2"	28	28	0	0	7338	26.1	-7	0	0	1870	6.6	0	0	0	1856	6.6	-2.5	0	0	1609	5.7	-1.5	0	0	7634	27.1	1	0	0	1361	4.8	0.4	0	0	1765	6.3	0	0	0	3862	13.7	7.5	0	0	603	2.1	1.8
"2523"	"S"	"S"	"79,9"	14	14	0	0	1271	10.8	-3.3	0	0	207	1.8	0.1	0	0	162	1.4	-0.9	0	0	266	2.3	0	0	0	5958	50.7	-5.4	0	0	1375	11.7	-2	0	0	469	4	0.4	0	0	1782	15.2	10.2	0	0	188	1.6	1.4
"1485"	"S"	"S"	"84,4"	32	32	0	0	6952	20.4	-8.3	0	0	1658	4.9	-0.2	0	0	1629	4.8	-1.8	0	0	1825	5.4	-1.4	0	0	11560	34	0.4	0	0	2039	6	0.8	0	0	2010	5.9	-1	0	0	5255	15.4	9.3	0	0	811	2.4	2
"2380"	"S"	"S"	"84,3"	35	35	0	0	7482	18.9	-5	0	0	3852	9.7	-2	0	0	1464	3.7	-0.7	0	0	1074	2.7	-0.5	0	0	15098	38.1	0.1	0	0	2603	6.6	0.1	0	0	2830	7.1	-0.8	0	0	3702	9.3	6.2	0	0	1213	3.1	2.7
"1863"	"S"	"S"	"81,4"	4	4	0	0	556	12.8	-4.8	0	0	202	4.7	-0.1	0	0	93	2.1	-1.5	0	0	87	2	-0.4	0	0	2063	47.6	-3.7	0	0	281	6.5	-0.8	0	0	134	3.1	-1.3	0	0	780	18	10.7	0	0	78	1.8	1.4
"0480"	"S"	"S"	"85,7"	31	31	0	0	8049	23.1	-4.8	0	0	2096	6	0	0	0	1562	4.5	-2.5	0	0	1533	4.4	-1	0	0	11937	34.2	-0.3	0	0	1685	4.8	0.1	0	0	2576	7.4	-0.7	0	0	4373	12.5	7.2	0	0	861	2.5	2.1
